path,sentence,speaker
sentence28.wav,"Втълпявам на говедаря, че десеткилометровата епопея за доумъртвяване на стадо, която той избълва, е само мит.",1
sentence45.wav,"Дончевски, след като се потрудвам да отскубвам лъжесвидетел, щръквам противокиселинен и ярък доказателствен материал.",1
sentence35.wav,"Сред малочислените средношколци, които олющвам, има и една популяризаторка на културните инициативи, за която поослушам често.",1
sentence52.wav,"В Стражевци, след като шкурка се оказа свадливо настроена, плъзна плюшеният диван, а енергетиката на вечерта се беше прегънала в ново настроение.",1
sentence2.wav,"В планирането на нощуването си в планинарството, аз дисконтирам монолитността на маршрута, който подлежи на внимателно калибриране.",1
sentence37.wav,"В Плешинци, след безуспешен опит за изпрегнене на таковане, радикалната пломба сработи.",1
sentence53.wav,"Сийка произносимо усети мириса на ебонит, докато разглеждаше старите карти с Режанци, заседнали в адмиралтейството по време на пирова вечеря.",1
sentence59.wav,Предсрочното обвинение срещу автомобилопроизводителя Голак за изпускане на амонит предизвика широк обществен интерес.,1
sentence39.wav,"Пристигам с критически поглед към неопределителния проблем на съдържателността и систематизирането на информацията, която изисква издигнатост в анализа.",1
sentence47.wav,"В Пъдарци, под нежния повей на вятъра, гледах екранизация на стара история за бичкиджийница, докато разгадавах морзовите знаци и се надявах на нови приключения.",1
sentence61.wav,"В Лесковдол, след помръдване на бушона, оформление на стената и додаване на нови елементи, успяхме да понатроша старите мебели.",1
sentence46.wav,Келтският превозвач носеше концентрат за камерно заглозгване на пролетариата.,1
sentence31.wav,"След като се дипломирам, в сарая ще чета благожелателен текст за самоопределям и автокефален статус, докато похапвам със схрупване.",1
sentence57.wav,"В благовъзпитания свят на финитен динозавър, лицензионният му достъп до многобожие предизвиква заехтяване сред интригуващите му последователи.",1
sentence1.wav,"Гочо прокашлям, докато боядисва лапландски пчеларник с лъковиден поялник.",1
sentence9.wav,"В Заимово лежеше абсолютна тъга, докато чекийка на слугинския живот угнетяваше яйчника на всички мечти.",1
sentence4.wav,"В Сибир, сред разлъката от спомени, макросът на естетизма бе настигнат от секира, оставяйки следи в сърцата на хората.",1
sentence49.wav,"Богословът, докато превалявам през Филево и Мостич, реши да апретира новия си ръкопис, но автоматично заслепя от яркото слънце.",1
sentence5.wav,"Снежана, с непроницателен поглед, поизтри по следите на запрещаването, което доведе до неприятелство между Костино и нейните приятели.",1
sentence42.wav,"В Габърница, калугеря с плачевен вид запали светилник, докато копачът мечтаеше да стане милионерка.",1
sentence11.wav,"В процеса на умиротворяване на конфликта, недочуяха идеята за напредничавост и пресрочване на преговорите, като антоним на спокойствието, който напомня за затворената кокона на страх и несигурност.",1
sentence13.wav,"На девети октомври Йосифов посетил селищната черква, където обсъдили екстраполирането на данни за овцефермата в района.",1
sentence51.wav,"Осиковска, феерично донасяне на комфортен уют от Азербайджан, предизвиква подиграване сред недоброжелателите.",1
sentence29.wav,"Отдалеко, визовият контрол се оказа пръскачен бариера срещу нежелателността на братоубийството, което разсича обществото на две.",1
sentence21.wav,"В брестовата емулсия, която навадах в Згалево, прочиствам казуистиката на местните традиции.",1
sentence14.wav,"В конвенционалния ресторант Ракита, неотличителният избор на ястия беше истинска идиотия за тези, които търсят продоволствие, но аз успях да го понасям.",1
sentence34.wav,"Натъквам се на втрещване от социалшовинизъм, когато в Малево видях рой хора, кръвясали от ярост.",1
sentence26.wav,"На входния праг стоеше тъмносин чадър, а простуденият Устрем, изпълнен със суетност, недоброжелателно наблюдаваше хората, минаващи покрай него.",1
sentence25.wav,"Попиването на недоизказаните чувства на службашите от Оризари доведе до разобличане на техните тайни, което изискваше посвикване на всички заинтересовани.",1
sentence58.wav,"В Раданово, след стържене на стените и омазване с нова боя, група ученици обсъждаше индивидуализацията на проектите, формулировката на идеите и доносването на резултатите.",1
sentence22.wav,"Мистификаторът, с очевидност заплетен в апашлък, реши да отвърне на обвиненията с пишкане на нова книга за Европий.",1
sentence8.wav,"Чилингиров вирва тоалетния предикативен застъпник, за да не обезплодя дебата по темата.",1
sentence54.wav,"Докато преразглеждам ксилографията на куличка, стоешком наблюдавам телец, който климана покрай нея.",1
sentence48.wav,"Силнотоковият обеля, който съм патентовал, е неписан енергоспестяващ чудо с словоохотливо описание.",1
sentence12.wav,"В Краводер попадам на междудържавен аптекар, който завирва с топор стари лекарства.",1
sentence20.wav,"В Ивайловград, кроманьонски рисувания със термопластичен материал повилнявам, докато мъдря сложното изшарване на детайлите.",1
sentence16.wav,"Карстовият ландшафт вдъхнови Ангеловски, предсказвачът на бъдещето, докато ортопедистът обясняваше как нега на стъпалата може да предотврати изтракане.",1
sentence44.wav,"В тиха безжизненост, той стоеше с манто и нацупеност, докато на лицето му играеше полуусмивка, а мислите му бяха очистителни и неразединени.",1
sentence24.wav,"При отиване на среща за бракуване след перестройка, установих, че връзвам надеждите си за ново закачване, без да се лъжа.",1
sentence41.wav,"Чистосърдечно разговарях с циганя, който притежаваше съковит, тежкокалибрен пистолет и нежив бифокален филм в джоба си.",1
sentence7.wav,"В казарма Герасков, Козин рисуваше калиграфски знаци, докато се шегуваше, че се чувства като самурай и дяволък в същото време.",1
sentence40.wav,"Нелепо е, че палавник от Цаконица тиражира историите на романистка от Черноморие.",1
sentence63.wav,"Възприемането на модернистичния стил в изкуствата разоръжава търговщината и самообладявайки се, предотвратява разединителя на общността.",1
sentence43.wav,"Когато мръквам, допълням непотребния бутниколиба на Мирена, а заради старата си травма куцам.",1
sentence36.wav,"В Карлуково, сред източноевропейския пейзаж, регенерирам вдълбоченост в мислите си, докато държа в ръка буталка с бетон.",1
sentence27.wav,"Докато начуквам новите идеи за клониране на мацка, покачвам настроението си с помощта на вакуумапарата, следвайки художествения канон.",1
sentence15.wav,"На Илинден, докато се занимавах със сърфинг, усетих щипене от слънцето и реших да разпиша на шотландски ""Пропукам се от радост"".",1
sentence18.wav,"Несравненият артист, с непритеснен вид, подплатя своето издайничество с подвижно подвяване на ръцете при огребването на аплодисментите.",1
sentence19.wav,"В Байково, при заприглаждане на септемврийчето, ароматът на миро се разнасяше, докато наблюдавах позахладяването през малкото прагче на верандата.",1
sentence17.wav,"Докато прелистям менюто в ресторанта, виждам как един сноб поръчва вана с кебап, а натрапчивата му нагласа ми напомня за простреляните от флирт мрачни миналости.",1
sentence23.wav,"Докато превъртам стария филм за трансалпийски приключения, опиянявам сетивата си и забравям за риска от разхайтване, мамя себе си, че мога да избегна ликвидиране на последните си надежди.",1
sentence32.wav,"В плавалнята, докато жонглирам с топки, допипвам рентгенологията, за да изследвам безболезнеността при сгърбване.",1
